,precision,recall,f1-score,support
0,0.9725448785638859,0.921,0.9460708782742681,1000.0
1,0.9344587884806356,0.941,0.9377179870453413,1000.0
2,0.8762886597938144,0.85,0.8629441624365483,1000.0
3,0.7965941343424787,0.842,0.8186679630529898,1000.0
4,0.7686939182452642,0.771,0.7698452321517724,1000.0
5,0.7373417721518988,0.699,0.7176591375770021,1000.0
6,0.6782039289055192,0.725,0.7008216529724505,1000.0
7,0.6152380952380953,0.646,0.6302439024390244,1000.0
8,0.6734463276836158,0.596,0.6323607427055703,1000.0
9,0.6057142857142858,0.53,0.5653333333333334,1000.0
10,0.48850045998160074,0.531,0.5088643986583613,1000.0
11,0.49312714776632305,0.574,0.5304990757855823,1000.0
12,0.5764150943396227,0.611,0.5932038834951456,1000.0
13,0.5949720670391061,0.639,0.6162005785920925,1000.0
14,0.6454456415279138,0.659,0.6521523998020782,1000.0
15,0.7300420168067226,0.695,0.7120901639344263,1000.0
16,0.7145669291338582,0.726,0.7202380952380952,1000.0
17,0.8212719298245614,0.749,0.7834728033472803,1000.0
18,0.8959025470653378,0.809,0.8502364687335786,1000.0
accuracy,0.7112631578947368,0.7112631578947368,0.7112631578947368,0.7112631578947368
macro avg,0.7167772959265547,0.7112631578947368,0.7130854136618389,19000.0
weighted avg,0.7167772959265548,0.7112631578947368,0.7130854136618391,19000.0
